pseudo_user,VOC건수,대표공항,주VOC유형,주카테고리
430c5b33d8da8fd0,3,무안공항,단순문의,항공사
43347c7126fdba3e,3,김해공항,불편불만,ID체크
b802258c7e161a89,3,본사,VOC기타,공사업무
bab35319f5aae8e2,3,제주공항,불편불만,터미널
b9a95ff01ded0599,3,김해공항,불편불만,직원관련
13531421b3cb2f5c,3,김포공항,불편불만,ID체크
b9214894a4142b02,3,제주공항,불편불만,직원관련
b93a012c89e4bc83,3,제주공항,불편불만,직원관련
c14aba9f7ac69411,3,김포공항,불편불만,터미널
c0d5ff287f1ca937,3,김해공항,불편불만,터미널
719315bc2f5d5ad7,3,제주공항,불편불만,터미널
2890641d69a4a99b,3,김해공항,불편불만,연계교통
28a12ac51f3b762e,3,김포공항,불편불만,ID체크
2754b6e483acfa0e,3,본사,VOC기타,공사업무
6e43c4b004345403,3,김포공항,불편불만,주차장
6e4547f93331d71d,3,김포공항,불편불만,직원관련
6db271b79f8fe5b6,3,제주공항,불편불만,터미널
6f8f48149ebdf713,3,김포공항,불편불만,터미널
e2c9a87a085ce607,3,김해공항,불편불만,기타
e226f9e959e1e033,3,김포공항,항공기소음,기타
e1937402c2e6a329,3,김해공항,불편불만,직원관련
e1b6cb1656c01f4d,3,제주공항,불편불만,직원관련
6f3f268802ff477f,3,김포공항,불편불만,기타
29d2bd22aa005718,3,제주공항,불편불만,ID체크
2b5df03fc1d2792b,3,제주공항,불편불만,터미널
6c6d04eca7082445,3,제주공항,불편불만,직원관련
68048f14c925dfd1,3,제주공항,불편불만,터미널
75090ebb7e019715,3,김포공항,불편불만,주차장
78a2a69ea5fdf2aa,3,청주공항,불편불만,상업시설
de7965a9c08bb8db,3,김해공항,불편불만,상업시설
e0c80e2bc3d81d85,3,김포공항,불편불만,주차장
78528c88d7cff4e7,3,김포공항,불편불만,공사업무
79994b97fb52301b,3,제주공항,불편불만,ID체크
796d958cd1630167,3,김포공항,불편불만,직원관련
79956904901a628b,3,김해공항,불편불만,직원관련
2590f2e092075438,3,김해공항,불편불만,항공사
71816faf94ee9b31,3,김포공항,불편불만,직원관련
7065722203c9a936,3,김포공항,불편불만,직원관련
292286355324ca4c,3,김포공항,불편불만,직원관련
7293b366ff0e03dc,3,본사,불편불만,보안검색
72ce561e89516314,3,김포공항,불편불만,직원관련
72536e0791d8acf2,3,김포공항,불편불만,연계교통
dc501fdf308d7c4e,3,김포공항,불편불만,ID체크
09b1bed67cf76f50,3,김포공항,불편불만,기타
74669dbca9ad1424,3,김포공항,불편불만,기타
6bd62913795f5343,3,김포공항,불편불만,직원관련
6a62268b1919c6ea,3,제주공항,불편불만,직원관련
2b25a3ed73f78386,3,김포공항,불편불만,연계교통
29fb046f102d409c,3,김포공항,불편불만,상업시설
2a0281d89632b47b,3,김포공항,불편불만,직원관련
e5a1ce01e2b01f55,3,김포공항,불편불만,직원관련
e52cd5379240e6f8,3,김포공항,불편불만,직원관련
067138c50c716a7c,3,김포공항,불편불만,터미널
e7dd7bc5a512b740,3,김해공항,불편불만,터미널
